Text,Label
"Manchado o sangrado vaginal
Dolor o calambres en el abdomen o la parte inferior de la espalda
Fluidos o tejidos que salen por la vagina
Si ha salido tejido fetal por la vagina, colócalo en un recipiente limpio y llévalo al consultorio de tu profesional de salud o al hospital para que se lo analice.
Recuerda que la mayoría de las mujeres que presentan manchado o sangrado vaginal durante el primer trimestre continúan teniendo embarazos exitosos.",Aborto espontáneo
"Dolor de muela intenso, persistente y grave que puede emitirse hasta la mandíbula, el cuello o la oreja
Sensibilidad a temperaturas frías y calientes
Sensibilidad a la presión de masticar o morder
Fiebre
Hinchazón en el rosto o en las mejillas
Inflamación y sensibilidad a la palpación de ganglios linfáticos debajo de la mandíbula o en el cuello
Sarpullido repentino de líquido salino, con olor y gusto desagradables en la boca o alivio del dolor si se rompe el absceso
Dificultad para respirar o tragar
Cuándo consultar al médico
Consulta con tu dentista de inmediato si tienes algún signo o síntoma de absceso dental.
Si tienes fiebre e hinchazón en la cara y no puedes comunicarse con tu dentista, ve a la sala de emergencias. También debes ir a la sala de emergencias si tienes dificultad para respirar o tragar. Estos síntomas pueden indicar que la infección se ha extendido más profundamente en la mandíbula y el tejido circundante o incluso en otras áreas del cuerpo.",Absceso dental
"Robar, falsificar o vender recetas
Tomar dosis más altas que las recetadas
Cambios de humor excesivos u hostilidad
Aumento o disminución de las horas de sueño
Toma de decisiones poco acertadas
Mostrarse con el ánimo excitado, estar inusualmente energético o acelerado, o sedado
Solicitar reposiciones anticipadas o ""perder"" constantemente las recetas, por lo que es necesario emitir más recetas
Solicitar recetas a más de un médico
Cuándo debes consultar con un médico
Habla con el médico si crees que puedes tener un problema con el uso de medicamentos recetados. Puede avergonzarte hablar del tema, pero recuerda que los profesionales médicos están capacitados para ayudarte, no para juzgarte. Es más fácil ocuparse del tema con anticipación antes de que se convierta en una adicción y genere un problema más grave.",Abuso de drogas recetadas
"Incapacidad para tragar (disfagia), que puede sentirse como si la comida o la bebida estuviera atascada en la garganta
Regurgitación de comida o saliva
Acidez estomacal
Eructación
Dolor en el pecho que aparece y desaparece
Tos por la noche
Neumonía (por aspiración de alimentos a los pulmones)
Pérdida de peso
Vómitos",Acalasia
"Los cambios en la piel son los únicos signos de la acantosis nigricans. Percibirás que la piel está oscura, gruesa y aterciopelada en los pliegues y en las arrugas del cuerpo, generalmente en las axilas, en la ingle y en la parte posterior del cuello. Casi siempre, los cambios en la piel aparecen de forma lenta. La piel afectada también puede tener olor o picar.
Cuándo debes consultar a un médico
Consulta con tu médico si percibes cambios en la piel, en particular, si aparecen de repente. Es posible que tengas una afección preexistente que necesita tratamiento.",Acantosis pigmentaria
"Cara. Pídele a la persona que sonría. ¿Se cae un lado de la cara?
Cara.
Brazos. Pídele a la persona que levante ambos brazos. ¿Un brazo tiende a caer? ¿O no puede levantar un brazo?
Brazos.
Habla. Pídele a la persona que repita una frase simple. ¿Arrastra las palabras o habla de manera extraña?
Habla.
Tiempo. Si observas cualquiera de estos signos, llama al 911 o a un servicio de emergencias médicas de inmediato.
Tiempo.
Llama al 911 o al número local de emergencias de inmediato. No esperes a ver si los síntomas desaparecen. Cada minuto cuenta. Cuanto más tiempo se demore en tratar un accidente cerebrovascular, mayores serán las posibilidades de daño cerebral y discapacidad.
Si sospechas que la persona con la que te encuentras está teniendo un accidente cerebrovascular, vigílala cuidadosamente mientras esperas la ayuda de emergencia.",Accidente cerebrovascular
"Debilidad, entumecimiento o parálisis en la cara, los brazos o las piernas, especialmente en un lado del cuerpo
Hablar arrastrando las palabras, balbuceo o dificultad para entender a los demás
Pérdida de la visión en uno o ambos ojos, o visión doble
Vértigo o pérdida de equilibrio o coordinación
Puedes tener más de un accidente isquémico transitorio, y los signos y síntomas recurrentes pueden ser similares o diferentes, según qué área del cerebro se vea afectada.
Cuándo debes consultar a un médico
Dado que los AIT suelen producirse horas o días antes de un accidente cerebrovascular, es esencial buscar atención médica de urgencia tras un posible AIT. Busca atención médica inmediata si sospechas que tuviste un accidente isquémico transitorio. La evaluación e identificación inmediatas de afecciones potencialmente tratables pueden ayudar a evitar un accidente cerebrovascular.",Accidente isquémico transitorio (isquemia cerebral transitorio)
"Tu hijo todavía moja la cama después de los 7 años
Tu hijo comienza a mojar la cama unos meses después de haber dejado de hacerlo
La enuresis está acompañada de dolor al orinar, sed inusual, orina rosa o roja, heces duras o ronquidos",Acción de orinar involuntariamente
"Desmayos
Dificultad para respirar
Hinchazón de los ojos, la cara, los labios o la lengua
Opresión en la garganta",Acné
"El acné del bebé generalmente se caracteriza por la aparición de pequeñas protuberancias rojas o blancas en sus mejillas, nariz y frente. Con frecuencia, aparece en las primeras dos a cuatro semanas después del nacimiento.
Muchos bebés también desarrollan pequeñas protuberancias blancas en la nariz, el mentón o las mejillas. Esto se conoce con el nombre de milia.
Cuándo debes consultar a un médico
Consulta con el médico de tu bebé si hay algo que te preocupa acerca de la tez del bebé. El acné del bebé, por lo general, desaparece dentro de los tres o cuatro meses.",Acné del bebé
"Manos y pies más grandes
Rasgos faciales más grandes, en los huesos del rostro, los labios, la nariz y la lengua
Piel áspera, grasosa y más gruesa
Sudoración excesiva y con olor
Pequeñas verrugas en la piel (fibromas blandos)
Fatiga y debilidad articular o muscular
Dolor en las articulaciones y movilidad reducida
Voz más grave y áspera debido al aumento de tamaño de las cuerdas vocales y los senos nasales
Ronquidos fuertes debido a la obstrucción de las vías respiratorias superiores
Problemas de visión
Dolores de cabeza, que pueden ser persistentes o fuertes
Irregularidades en el ciclo menstrual de las mujeres
Disfunción eréctil en los hombres
Pérdida del deseo sexual
Cuándo consultar al médico
Si tienes signos y síntomas de acromegalia, contacta a tu médico para hacer un examen.
Por lo general, la acromegalia se desarrolla lentamente. Incluso tu familia puede no notar los cambios físicos graduales que ocurren con este trastorno en un principio. Sin embargo, un diagnóstico temprano es importante para comenzar a recibir los cuidados apropiados. Si no se trata, la acromegalia puede traer problemas de salud graves.",Acromegalia
"Sangrado menstrual abundante y prolongado
Cólicos intensos o dolor pélvico punzante como una puñalada durante la menstruación (dismenorrea)
Dolor pélvico crónico
Relaciones sexuales dolorosas (dispareunia)
Es posible que el útero aumente de tamaño. Si bien es posible que no sepas que el útero está más grande, quizás notes sensibilidad o presión en la parte baja del abdomen.
Cuándo debes consultar a un médico
Si tienes un sangrado intenso y prolongado o cólicos fuertes durante los períodos menstruales que interfiere en tus actividades diarias, pide una cita con el médico.",Adenomiosis
"Dificultad para hablar
Problemas para comprender el habla
Dificultad para recordar palabras
Problemas para leer o escribir",Afasia
"Gramática deficiente en forma escrita y oral
Dificultad para entender oraciones complejas
Cometer errores de gramática
Puede estar acompañado de problemas del habla, como errores en los sonidos del habla (conocido como apraxia del habla)",Afasia progresiva primaria
"Los signos primarios de labilidad emocional son los ataques frecuentes, involuntarios e incontrolables de llanto o risa que resultan exagerados o no están conectados con el estado emocional. La risa suele transformarse en lágrimas. Tu humor parecerá normal entre episodios, los que pueden producirse en cualquier momento. El llanto parece ser un signo más frecuente de labilidad emocional que la risa.
El grado de respuesta emocional causado por la labilidad emocional suele ser sorprendente, con un llanto o una risa que pueden durar varios minutos. Por ejemplo, te puedes reír sin control en respuesta a un comentario medianamente gracioso. O puedes reír o llorar en situaciones que otros piensan que no son graciosas o tristes. Por lo general, estas respuestas emocionales representan un cambio en cuanto a la forma en que habrías respondido anteriormente.
Debido a que la labilidad emocional muchas veces implica llanto, esta afección suele confundirse con depresión. Sin embargo, los episodios de labilidad emocional tienden a ser breves, mientras que la depresión provoca una sensación persistente de tristeza. Además, las personas con labilidad emocional con frecuencia carecen de ciertas características de la depresión, como trastornos del sueño o pérdida del apetito. No obstante, la depresión es frecuente entre aquellos que padecen labilidad emocional.
Cuándo consultar al médico
Consulta con tu médico si crees que tienes labilidad emocional. Si tienes una afección neurológica, puede que ya estés bajo tratamiento con un médico que pueda diagnosticar labilidad emocional. Los especialistas que pueden ayudarte incluyen, entre otros, neuropsicólogos, neurólogos y psiquiatras.
Se tiene la sospecha de que muchos casos de labilidad emocional no son informados y no se diagnostican correctamente debido a una falta de concientización sobre esta afección.",Afección pseudobulbar
"Aftas inusualmente grandes
Aftas recurrentes, que se presentan después de que sanan las anteriores, o brotes frecuentes
Aftas persistentes, que permanecen durante dos semanas o más
Aftas que se extienden hacia los labios (con un borde bermejo)
Dolor que no puedes controlar con medidas de cuidado personal
Dificultad extrema para comer o beber
Fiebre alta junto con las aftas
Consulta con tu dentista si tienes superficies de dientes filosas o aparatos dentales que parecen provocar las aftas.",Afta
"Amígdalas muy pequeñas
Ganglios linfáticos pequeños o inexistentes",Agammaglobulinemia ligada al cromosoma X
"Los signos y síntomas de la agenesia vaginal suelen pasar desapercibidos hasta que las niñas llegan a la adolescencia y no menstrúan (amenorrea). Algunas mujeres tienen dolor y calambres abdominales todos los meses.
Cuándo consultar al médico
Si cumples 15 años y no has tenido la menstruación, consulta con el médico.",Agenesia vaginal
