enfermedad,sintomas
Aborto espontáneo,"La mayoría de los abortos espontáneos ocurren durante el primer trimestre del embarazo, que son aproximadamente las primeras 13 semanas.
Entre los síntomas que pueden aparecer se encuentran los siguientes:
Sangrado vaginal con o sin dolor, como un sangrado leve que se conoce como manchado.
Dolor o calambres en la zona pélvica o en la parte baja de la espalda.
Líquido o tejido que sale de la vagina.
Latidos rápidos del corazón.
Si expulsaste tejido de la vagina, colócalo en un recipiente limpio. Después, llévalo al consultorio de tu profesional de atención médica o al hospital. Un laboratorio puede examinar el tejido para verificar si hay signos de aborto espontáneo.
Ten en cuenta que la mayoría de las personas embarazadas que presentan manchado o sangrado vaginal durante el primer trimestre tienen embarazos sin complicaciones. Sin embargo, llama a tu equipo de atención médica de inmediato si el sangrado es intenso o si viene acompañado de calambres.
Solicite una consulta

Causas
Genes o cromosomas irregulares
La mayoría de los abortos espontáneos se producen porque el feto no se desarrolla adecuadamente. Aproximadamente, entre la mitad y dos tercios de los abortos espontáneos que se producen en el primer trimestre están relacionados con una carencia o exceso de cromosomas. Los cromosomas son estructuras de cada célula que contienen genes, las instrucciones sobre el aspecto y el funcionamiento de las personas. Cuando un óvulo y un esperma se unen, se juntan dos juegos de cromosomas, uno del padre y uno de la madre. Sin embargo, si alguno de los dos juegos tiene menos o más cromosomas de lo normal, esto puede derivar en un aborto espontáneo.
Los problemas cromosómicos pueden llevar a lo siguiente:
Embarazo anembrionado. Esto ocurre cuando no se forma ningún embrión. O bien, el embrión se forma, pero el cuerpo lo absorbe. El embrión es el grupo de células que se desarrolla hasta convertirse en un bebé por nacer, lo que también se conoce como feto.
Muerte fetal intrauterina. En esta situación, se forma un embrión pero deja de desarrollarse. Muere antes de que se presenten síntomas de aborto.
Embarazo molar y embarazo molar parcial. En un embarazo molar, el feto no se desarrolla. Esto ocurre con mayor frecuencia si ambos juegos de cromosomas proceden del esperma. Un embarazo molar está relacionado con un crecimiento irregular de la placenta, el órgano asociado al embarazo que proporciona oxígeno y nutrientes al feto.
Con un embarazo molar parcial, el feto puede desarrollarse, pero no sobrevivir. Un embarazo molar parcial se produce cuando hay un juego adicional de cromosomas, que se conoce como triploidía. El juego adicional suele proceder del esperma, pero también puede proceder del óvulo.
Los embarazos molares y molares parciales no pueden continuar porque pueden causar graves problemas de salud. A veces, pueden estar relacionados con alteraciones de la placenta que derivan en cáncer en la persona embarazada.
Afecciones de salud materna
En algunos casos, tener determinadas enfermedades puede derivar en un aborto espontáneo. Entre ellas, se encuentran las siguientes:
Diabetes no controlada.
Infecciones.
Problemas hormonales.
Problemas del útero o del cuello del útero.
Enfermedad tiroidea.
Obesidad.
Lo que NO causa un aborto espontáneo
Las actividades de rutina como estas no causan un aborto espontáneo:
Ejercitarte, siempre que estés sana. Pero habla primero con el equipo de atención médica para el embarazo. Y no participes en actividades que puedan derivar en lesiones, como los deportes de contacto.
Tener relaciones sexuales.
Discutir.
Tomar píldoras anticonceptivas antes del embarazo.
Trabajar, siempre y cuando no estés expuesta a dosis altas de sustancias químicas o radiación dañinas. Habla con el profesional de la salud si te preocupan los riesgos relacionados con el trabajo.
Algunas personas que tuvieron un aborto espontáneo se culpan a sí mismas. Piensan que perdieron el embarazo porque se cayeron, tuvieron un susto u otros motivos. Pero la mayoría de las veces, el aborto espontáneo se produce por un hecho aleatorio que no es culpa de nadie.
Más información
Gestación anembrionada: ¿qué la causa?
Factores de riesgo
Diversos factores aumentan el riesgo de tener un aborto espontáneo, como:
Edad. Si eres mayor de 35 años, tienes un riesgo más alto de aborto espontáneo que una persona más joven. A los 35 años, tienes un riesgo de alrededor del 20 %. A los 40 años, el riesgo es de alrededor del 33 % al 40 %. Y a los 45 años, es del 57 % al 80 %.
Abortos espontáneos anteriores. Si ya has tenido uno o más abortos espontáneos, tienes un mayor riesgo de pérdida del embarazo.
Afecciones a largo plazo. Si tienes una enfermedad continua, como la diabetes no controlada, el riesgo de aborto espontáneo es más alto.
Problemas en el útero o el cuello del útero. Determinadas afecciones uterinas o los tejidos débiles del cuello del útero, lo que también se conoce como incompetencia cervical, podrían aumentar las probabilidades tener un aborto espontáneo.
Fumar o consumir alcohol, cafeína y drogas ilícitas. Las personas que fuman tienen mayor riesgo de tener un aborto espontáneo que las que no fuman. El consumo excesivo de cafeína o alcohol también aumenta el riesgo. También lo aumenta el consumo de drogas ilícitas, como la cocaína.
Peso. Tener bajo peso o sobrepeso se ha asociado con un mayor riesgo de aborto espontáneo.
Afecciones genéticas. A veces, es posible que uno de los miembros de la pareja esté sano pero que sea portador de un problema genético que aumenta el riesgo de aborto espontáneo. Por ejemplo, uno de ellos podría tener un cromosoma único que se formó cuando las partes de dos cromosomas diferentes se unieron entre sí. Esto se conoce como traslocación. Si uno de los miembros de la pareja es portador de una traslocación de cromosomas, la transmisión de esta al feto aumenta las probabilidades de aborto espontáneo.
Complicaciones
En algunos casos, el tejido del embarazo que queda en el útero después de un aborto espontáneo puede generar una infección el útero aproximadamente 1 o 2 días después. La infección se llama aborto espontáneo séptico. Los síntomas incluyen los siguientes:
Fiebre de más de 100,4 grados Fahrenheit (39 ºC) más de dos veces.
Escalofríos.
Dolor en la parte baja del estómago.
Líquido fétido, que se llama secreción, de la vagina.
Sangrado vaginal.
Si tienes estos síntomas, llama al consultorio de tu profesional de atención médica, a tu triaje de obstetricia o al departamento de emergencia. Sin tratamiento, la enfermedad puede empeorar rápidamente y ser mortal.
El sangrado intenso de la vagina, que se llama hemorragia, es otra complicación del aborto espontáneo. Junto con el sangrado, una hemorragia generalmente tiene síntomas como:
Latidos cardíacos rápidos.
Mareos debido a la presión arterial baja.
Cansancio o debilidad debido a niveles bajos de glóbulos rojos, lo que también se llama anemia.
Solicita atención médica de inmediato. Algunas personas que tienen una hemorragia necesitan recibir sangre de un donante o una cirugía.
Prevención
A menudo, no hay nada que puedas hacer para prevenir un aborto espontáneo. Más bien, es importante que te enfoques en cuidar bien de ti misma y del bebé en el vientre.
Obtén atención prenatal periódica mientras estés en embarazo y justo después de dar a luz.
Aléjate de los factores de riesgo para aborto espontáneo, como fumar, consumir bebidas alcohólicas y usar drogas ilícitas.
Toma diariamente un multivitamínico.
Si tuviste en el pasado uno o más abortos espontáneos, pregunta al profesional de atención médica si deberías tomar una dosis baja de aspirina.
Limita la cafeína. Muchos expertos recomiendan no tomar más de 200 miligramos al día mientras estás en embarazo. Esta cantidad de cafeína corresponde a una taza de 12 onzas (355 ml) de café preparado. Además, revisa las etiquetas de los alimentos para ver la cantidad de cafeína que tienen. Los efectos de la cafeína sobre el bebé en el vientre no están claros y las cantidades elevadas pueden causar un aborto espontáneo o un parto prematuro. Pregunta al equipo de atención médica para el embarazo qué es lo mejor para ti.
Si tienes una enfermedad a largo plazo, trabaja con el equipo de atención médica para mantenerla bajo control.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Absceso dental,
Abuso de drogas recetadas,"Los signos y síntomas del abuso de medicamentos de venta con receta médica dependen del fármaco específico. Por las propiedades modificadoras de la conducta, los medicamentos de venta con receta médica de los que se abusa con más frecuencia son:
Opioides que se usan para tratar el dolor, como los medicamentos que contienen oxicodona (Oxycontin, Percocet) e hidrocodona (Norco)
Medicamentos ansiolíticos, sedantes e hipnóticos que se usan para tratar los trastornos del sueño y la ansiedad, como el alprazolam (Xanax), el diazepam (Valium) y el zolpidem (Ambien)
Estimulantes que se usan para tratar el trastorno por déficit de atención e hiperactividad y determinados trastornos del sueño, como el metilfenidato (Ritalin, Concerta y otros), la dextroanfetamina-anfetamina (Adderall XR, Mydayis) y la dextroanfetamina (Dexedrine)
Signos y síntomas del abuso de medicamentos de venta con receta médica
Opioides
Estreñimiento
Náuseas
Sensación de estar colocado
Frecuencia respiratoria lenta
Somnolencia
Confusión
Mala coordinación
Necesidad de tomar dosis más altas para aliviar el dolor
Empeoramiento o aumento de la sensibilidad al dolor con dosis más altas
Medicamentos ansiolíticos y sedantes
Somnolencia
Confusión
Andar de manera inestable
Habla arrastrada
Problemas de concentración
Mareos
Problemas de la memoria
Respiración lenta
Estimulantes
Estar más alerta
Sensación de estar colocado
Ritmo cardíaco irregular
Presión arterial alta
Temperatura corporal alta
Disminución del apetito
Insomnio
Agitación
Ansiedad
Paranoia
Otros signos
Robar, falsificar o vender recetas médicas
Tomar dosis más altas que las recetadas
Hostilidad o cambios de humor
Dormir de más o de menos
Tomar malas decisiones
Sentirse inusualmente energético, eufórico o acelerado
Somnolencia
Pedir reposiciones antes de tiempo o “perder” constantemente las recetas médicas, por lo que se deben hacer más
Intentar pedir recetas médicas a más de un médico
Cuándo debes consultar con un médico
Habla con el proveedor de atención médica si crees que puedes tener problemas con el consumo de medicamentos de venta con receta médica. Es posible que sientas vergüenza de hablar sobre ello, pero recuerda que los médicos están capacitados para ayudarte, no para juzgarte. Es más fácil abordar el problema temprano, antes de que se transforme en una adicción y dé lugar a problemas más graves.
Solicite una consulta

Causas
Los adolescentes y los adultos abusan de los medicamentos de venta con receta por diversas razones, como las siguientes:
Sentirse bien o tener una sensación de subidón
Relajarse o aliviar tensiones
Aliviar el dolor
Disminuir el apetito
Aumentar el estado de alerta
Comprobar los efectos mentales de la sustancia adictiva
Mantener una adicción y prevenir la abstinencia
Conseguir la aceptación de los amigos o socializar
Intentar mejorar la concentración y el desempeño en la escuela o el trabajo
Más información
Abuso de drogas recetadas - atención en Mayo Clinic
Cómo se produce el trastorno por consumo de opioides
Factores de riesgo
Algunas personas temen volverse adictos a los medicamentos recetados para las enfermedades, como los analgésicos indicados luego de una cirugía. Pero puedes reducir el riesgo si sigues estrictamente las indicaciones del proveedor de atención médica sobre cómo tomar los medicamentos.
El abuso de medicamentos con receta médica es más frecuente entre adolescentes y adultos jóvenes.
Los factores de riesgo del abuso de medicamentos recetados comprenden los siguientes:
Adicciones pasadas o presentes a otras sustancias, como alcohol y tabaco
Antecedentes familiares de problemas de abuso de sustancias
Ciertas afecciones preexistentes de salud mental
Presión de grupo o un entorno social en el que hay consumo de sustancias adictivas
Fácil acceso a medicamentos recetados, como tenerlos en el botiquín de la casa
Falta de información sobre los medicamentos recetados y su daño potencial
Los adultos mayores y el abuso de medicamentos recetados
El consumo excesivo de medicamentos de venta con receta médica en adultos mayores es un problema en aumento, especialmente, cuando combinan medicamentos con alcohol. Tener varios problemas de salud y tomar varios medicamentos puede suponer un riesgo, ya que es posible que las personas hagan un mal uso de estos o se vuelvan adictos.
Complicaciones
El abuso de los medicamentos de venta con receta médica puede provocar diversos problemas. Los medicamentos de venta con receta médica pueden ser peligrosos, e incluso provocar la muerte, cuando se toman en dosis altas, cuando se combinan con otros medicamentos de venta con receta o determinados medicamentos de venta libre, o cuando se toman con alcohol o drogas ilícitas o recreativas.
Consecuencias médicas
A continuación, te damos ejemplos de las consecuencias graves del consumo excesivo de medicamentos de venta con receta médica:
Los opioides pueden provocar lentitud en la frecuencia respiratoria y crear la posibilidad que la respiración se detenga. Los opioides también pueden ocasionar un coma. Una sobredosis puede llevar a la muerte.
Los ansiolíticos y sedantes (medicamentos que te ayudan a sentirte en calma o con menos ansiedad) pueden causar problemas de memoria, presión arterial baja y respiración lenta. Una sobredosis puede ser la causa para un coma o la muerte. Dejar de tomar el medicamento de forma abrupta puede ocasionar síntomas de abstinencia, como hiperactividad del sistema nervioso y convulsiones.
Los estimulantes pueden ocasionar un aumento en la temperatura corporal, problemas cardíacos, presión arterial alta, convulsiones o temblores, alucinaciones, agresividad y paranoia.
Dependencia física y adicción
Dado que los medicamentos de venta con receta médica de los que se suele abusar activan el centro de recompensa del cerebro, es posible tener dependencia física y adicción.
Dependencia física. La dependencia física (tolerancia al fármaco) es la respuesta del cuerpo al consumo a largo plazo de un medicamento. Las personas que son físicamente dependientes de un medicamento podrían necesitar dosis más altas para lograr los mismos efectos y podrían tener síntomas de abstinencia cuando reduzcan o suspendan de forma abrupta el fármaco.
Adicción. Las personas adictas a un fármaco pueden tener dependencia física, pero también buscan de forma compulsiva un fármaco y continúan usándolo incluso cuando este causa problemas importantes en su vida.
Otras consecuencias
Otras consecuencias potenciales son las siguientes:
Adoptar conductas de riesgo debido a una mala capacidad de juicio
Consumir drogas ilícitas o recreativas
Participar en un delito
Tener accidentes automovilísticos
Tener un bajo desempeño escolar o laboral
Tener relaciones problemáticas
Prevención
El abuso de medicamentos de venta con receta médica puede ocurrir en personas que necesitan analgésicos, sedantes o estimulantes para tratar una enfermedad. Si tomas un medicamento de venta con receta médica que puede llevar al abuso de este, a continuación, encontrarás maneras de reducir el riesgo:
Asegúrate de recibir el medicamento correcto. Asegúrate de que el proveedor de atención médica comprenda claramente tu afección y los signos y síntomas. Infórmale al proveedor de atención médica sobre todas tus recetas médicas, medicamentos de venta libre, plantas medicinales y suplementos, y consumo de alcohol y otras sustancias adictivas. Pregúntale a tu médico si hay otros medicamentos con ingredientes que tengan menor potencial de generar adicción.
Consulta a tu proveedor de atención médica. Habla con tu proveedor de atención médica de forma periódica para asegurarte de que el medicamento sea eficaz y de que estés tomando la dosis adecuada.
Sigue las instrucciones cuidadosamente. Usa los medicamentos según te lo recetaron. Si te parece que un medicamento es ineficaz, no dejes de tomarlo ni cambies por tu cuenta la dosis sin antes hablar con el proveedor de atención médica. Por ejemplo, si estás tomando un analgésico que no está controlando adecuadamente el dolor, no tomes más.
Infórmate sobre qué hace tu medicamento. Pregúntale a tu proveedor de atención médica o farmacéutico sobre los efectos del medicamento, para saber qué esperar. Comprueba también si deben evitarse otros medicamentos, productos de venta libre o alcohol cuando se toma ese medicamento.
Nunca utilices la receta médica de otra persona. Cada persona es diferente. Incluso si tienes una enfermedad similar, es posible que el medicamento o la dosis no sean lo mejor para ti.
No pidas recetas en línea a no ser que sean de una farmacia de confianza. Algunos sitios web venden medicamentos falsificados de venta con receta médica y de venta libre que podrían ser peligrosos.
Prevención del abuso de medicamentos recetados por parte de adolescentes
Los medicamentos recetados son sustancias de las que los jóvenes suelen abusar. Adopta estas medidas para evitar que tu hijo adolescente abuse de los medicamentos recetados.
Analiza los peligros. Recuérdale a tu hijo adolescente que el hecho de que los medicamentos estén recetados por un proveedor de atención médica no significa que sean seguros, especialmente si se recetaron para otra persona o si tu hijo ya está tomando otros medicamentos con receta.
Establece reglas. Indícale a tu hijo adolescente que no está bien compartir medicamentos con otras personas, ni tomar medicamentos recetados para otros. Enfatiza la importancia de tomar la dosis recetada y hablar con el proveedor de atención médica antes de hacer cambios.
Analiza los peligros del consumo de alcohol. El consumo de alcohol con medicamentos puede aumentar el riesgo de sobredosis accidental.
Mantén tus medicamentos recetados en un lugar seguro. Guarda los medicamentos en un botiquín cerrado con llave y lleva un seguimiento de las cantidades de estos.
Asegúrate de que tu hijo no pida medicamentos en línea. Algunos sitios web venden medicamentos falsificados y peligrosos que quizás no requieran receta médica.
Desecha correctamente los medicamentos. No dejes por ahí los medicamentos sin usar ni los vencidos. Consulta la etiqueta o la guía de información del paciente para saber cuáles son las instrucciones de eliminación. Puedes pedirle asesoramiento al farmacéutico sobre cómo desecharlos.
Más información
Abuso de drogas recetadas - atención en Mayo Clinic
¿Qué son los opioides y por qué son peligrosos?
Gestión responsable de los opioides: ¿de qué se trata?



Escrito por el personal de Mayo Clinic
"
Acalasia,"Por lo general, los síntomas de la acalasia aparecen progresivamente y empeoran con el tiempo. Los síntomas pueden incluir los siguientes:
Disfagia, que es la dificultad para tragar; se puede sentir como si la comida o la bebida estuvieran atascadas en la garganta
Alimentos o saliva tragados que vuelven a la garganta
Acidez estomacal
Eructación
Dolor en el pecho que aparece y desaparece
Tos por la noche
Neumonía por ingreso de alimentos en los pulmones
Pérdida de peso
Vómitos
Solicite una consulta


Causas
No se entiende bien cuál es la causa exacta de la acalasia. Los investigadores sospechan que puede ser causada por una pérdida de células nerviosas en el esófago. Hay teorías sobre qué causa esto, pero hay posibilidades de que sea por una infección viral o respuestas autoinmunitarias. En muy pocas ocasiones, la acalasia puede ser causada por un trastorno genético hereditario o una infección.
Factores de riesgo
Los factores de riesgo para la acalasia incluyen los siguientes:
Edad. Aunque la acalasia puede afectar a personas de cualquier edad, es más común en personas que tienen entre 25 y 60 años.
Ciertas enfermedades. El riesgo de tener acalasia es mayor en personas con trastornos alérgicos, insuficiencia suprarrenal o síndrome de Allgrove, una afección genética autosómica recesiva.



Escrito por el personal de Mayo Clinic
"
Acantosis pigmentaria,
Accidente cerebrovascular,
Accidente isquémico transitorio,
Acción de orinar involuntariamente,"La mayoría de los niños están completamente entrenados para ir al baño a los 5 años, pero no hay una fecha límite para tener un control completo de la vejiga. Entre los 5 y los 7 años, mojar la cama sigue siendo un problema para algunos niños. Después de los 7 años, un pequeño número de niños sigue mojando la cama.
Cuándo consultar al médico
La mayoría de los niños superan mojar la cama por sí solos, pero algunos necesitan un poco de ayuda. En otros casos, mojar la cama puede ser un signo de una enfermedad subyacente que requiere atención médica.
Habla con el médico de tu hijo o con otro profesional de atención médica si:
Tu hijo sigue mojando la cama después de los siete años.
Tu hijo empieza a mojar la cama después de unos meses de estar seco por la noche.
Además de mojar la cama, tu hijo tiene dolor al orinar, suele tener mucha sed, orina de color rosa o rojo, presenta heces duras o ronca.
Solicite una consulta

Causas
No se sabe con certeza cuál es la causa de mojar la cama. Varias circunstancias pueden influir, como las siguientes:
Una vejiga pequeña. Es posible que la vejiga de tu hijo no esté lo suficientemente desarrollada como para contener toda la orina producida durante la noche.
No ser consciente de tener la vejiga llena. Si los nervios que controlan la vejiga tardan en madurar, es posible que la vejiga llena no despierte al niño. Esto puede suceder si tu hijo tiene un sueño profundo.
Un desequilibrio hormonal. Durante la infancia, algunos niños no producen suficiente hormona antidiurética, también llamada ADH. La hormona antidiurética retrasa la producción de orina durante la noche.
Infección de las vías urinarias. También llamada infección urinaria, esta infección puede dificultar que tu hijo controle las ganas de orinar. Los síntomas pueden incluir mojar la cama, accidentes diurnos, micción frecuente, orina roja o rosada, y dolor al orinar.
Apnea del sueño. A veces, mojar la cama es un signo de apnea obstructiva del sueño. La apnea del sueño se produce cuando la respiración de un niño se interrumpe durante el sueño. Esto suele deberse a amígdalas o adenoides inflamadas e irritadas o agrandadas. Otros síntomas pueden ser ronquidos y somnolencia durante el día.
Diabetes. Para un niño que suele estar seco por la noche, mojar la cama puede ser el primer signo de diabetes. Otros síntomas pueden ser la eliminación de grandes cantidades de orina de una sola vez, aumento de la sed, cansancio extremo y pérdida de peso a pesar de tener buen apetito.
Estreñimiento continuo. Un niño estreñido no defeca con suficiente frecuencia, y las heces pueden ser duras y secas. Cuando el estreñimiento es de larga duración, los músculos implicados en la evacuación de la orina y las heces pueden no funcionar bien. Esto puede estar relacionado con mojar la cama.
Un problema en las vías urinarias o en el sistema nervioso. En raras ocasiones, mojar la cama está relacionado con una diferencia en la estructura de las vías urinarias o del sistema nervioso.
Factores de riesgo
Mojar la cama puede afectar a cualquiera, pero es dos veces más frecuente en niños que en niñas.
Varios factores se han relacionado con un mayor riesgo de mojar la cama, entre ellos se encuentran los siguientes:
Estrés y ansiedad. Los acontecimientos estresantes pueden desencadenar mojar la cama. Por ejemplo, tener un nuevo bebé en la familia, empezar un nuevo colegio o dormir fuera de casa.
Antecedentes familiares. Si el padre o la madre de un niño, o ambos, mojaban la cama cuando eran niños, su hijo tiene más probabilidades de mojar la cama también.
Trastorno por déficit de atención e hiperactividad. Mojar la cama es más frecuente en niños que tienen trastorno por déficit de atención e hiperactividad.
Complicaciones
Si bien es frustrante, mojar la cama sin causa física no conlleva ningún riesgo para la salud. Pero mojar la cama puede crear algunos problemas para tu hijo, entre ellos:
Culpabilidad y vergüenza, que pueden derivar en una baja autoestima.
Pérdida de oportunidades para realizar actividades sociales, como fiestas de pijamas y campamentos.
Erupciones en los glúteos y la zona genital de tu hijo, especialmente si tu hijo duerme con la ropa interior mojada.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Acné,"Acné quístico
Agrandar la imagen
Los signos del acné varían según la gravedad de la afección:
Puntos blancos (poros tapados cerrados)
Espinillas (poros abiertos tapados)
Irregularidades sensibles rojas y pequeñas (pápulas)
Granos (pústulas) que son pápulas con pus en la punta
Bultos grandes, sólidos y dolorosos debajo de la piel (nódulos)
Bultos dolorosos llenos de pus debajo de la piel (lesiones quísticas)
El acné suele aparecer en la cara, la frente, el pecho, la parte superior de la espalda y los hombros.
Cuándo consultar al médico
Si los remedios caseros no pueden eliminar el acné, consulta con tu médico de atención primaria. El médico puede prescribirte medicamentos más fuertes. Si persiste el acné o es grave, busca tratamiento con un médico que se especialice en la piel (dermatólogo o dermatólogo pediátrico).
Para muchas mujeres, el acné puede persistir durante décadas, con brotes comunes una semana antes de la menstruación. Este tipo de acné tiende a desaparecer sin tratamiento en mujeres que usan anticonceptivos.
En los adultos mayores, una aparición repentina de acné severo puede indicar una enfermedad subyacente que requiere atención médica.
La Administración de Alimentos y Medicamentos (FDA) advierte que algunas lociones para el acné, desmaquillantes y otros productos de venta libre para la piel pueden causar una reacción grave. Este tipo de reacción no es común, así que no la confundas con el enrojecimiento, la irritación o la picazón que pueden producirse en las zonas donde te aplicaste medicamentos o productos.
Busca ayuda médica de emergencia si después de usar un producto de venta libre para la piel experimentas:
Desmayos
Dificultad para respirar
Hinchazón de los ojos, la cara, los labios o la lengua
Opresión en la garganta
Solicite una consulta

Causas
Cómo se desarrolla el acné
Agrandar la imagen
Hay cuatro factores principales que causan el acné:
Exceso de producción de materia grasa (sebo)
Folículos pilosos obstruidos por materia grasa y células muertas de la piel
Bacterias
Inflamación
El acné suele aparecer en la cara, la frente, el pecho, la parte superior de la espalda y los hombros porque estas áreas de la piel tienen la mayor cantidad de glándulas sebáceas. Los folículos pilosos están conectados a las glándulas sebáceas.
Es posible que la pared del folículo sobresalga y se forme un punto blanco. O puede que el tapón se abra a la superficie, se oscurezca y forme un punto negro. Un punto negro puede parecer suciedad incrustada en los poros. Pero, en realidad, el poro está lleno de bacterias y materia grasa, que se oscurece cuando se expone al aire.
Los granos son puntos rojos que sobresalen, con un centro blanco, que aparecen cuando los folículos pilosos bloqueados se inflaman o se infectan con las bacterias. La inflamación y las obstrucciones profundas dentro de los folículos pilosos producen protuberancias similares a quistes debajo de la superficie de la piel. Por lo general, no hay otros poros de la piel (que son las aberturas de las glándulas sudoríparas) relacionados con el acné.
Algunos factores pueden desencadenar o empeorar el acné:
Cambios hormonales. Los andrógenos son hormonas que aumentan en los jóvenes durante la pubertad y que hacen que las glándulas sebáceas se agranden y produzcan más sebo. Los cambios hormonales durante la madurez, especialmente en las mujeres, también pueden provocar brotes.
Ciertos medicamentos. Los ejemplos incluyen medicamentos que contienen corticosteroides, testosterona o litio.
Alimentación. Los estudios indican que el consumo de determinados alimentos, incluidos los alimentos ricos en carbohidratos, como el pan, los bagels y las papas fritas, puede empeorar el acné. Se necesitan más estudios para evaluar si las personas con acné se beneficiarían con algunas restricciones específicas de alimentación.
Estrés. El estrés no causa acné, pero, si ya lo padeces, puede emporarlo.
Mitos sobre el acné
Estos factores casi no influyen en el acné:
Chocolate y alimentos con alto contenido graso. Comer chocolate o alimentos con alto contenido graso tiene muy poca o ninguna incidencia sobre el acné.
Higiene. La piel sucia no provoca acné. De hecho, frotar la piel con demasiada fuerza o limpiarla con sustancias químicas o jabones fuertes irrita la piel y puede empeorar el acné.
Cosméticos. Los cosméticos no siempre empeoran el acné, especialmente si usas maquillaje sin aceite que no tapa los poros (no comedogénicos) y te quitas el maquillaje con regularidad. Los cosméticos que no contienen aceite no interfieren en la eficacia de los medicamentos contra el acné.
Complicaciones
Las personas con piel más oscura tienen más probabilidades de experimentar estas complicaciones del acné que las personas con piel más clara:
Cicatrices. La piel con hoyos (cicatrices del acné) y las cicatrices gruesas (queloides) pueden perdurar mucho tiempo después de que se haya curado el acné.
Cambios en la piel. Una vez que el acné ha desaparecido, es posible que la piel afectada quede más oscura (hiperpigmentada) o más clara (hipopigmentada) que antes de que ocurriera la afección.
Factores de riesgo
Los factores de riesgo del acné son los siguientes:
Edad. Si bien las personas pueden tener acné a cualquier edad, se presenta con mayor frecuencia en los adolescentes.
Cambios hormonales. Estos cambios son comunes durante la pubertad o el embarazo.
Antecedentes familiares. La genética interviene en el acné. Si tus padres padecieron acné, es probable que tú también lo padezcas.
Sustancias grasas o aceitosas. Es posible que desarrolles acné cuando tu piel entre en contacto con aceite o lociones y cremas aceitosas.
Fricción o presión en la piel. La causa puede ser, por ejemplo, elementos como teléfonos, teléfonos celulares, cascos, cuellos ajustados y mochilas.



  Reciba nuestro boletín informativo gratuito en español
El boletín informativo de Mayo Clinic en español es gratuito y se envía semanalmente por correo electrónico con consejos de salud, recetas deliciosas, descubrimientos médicos y más. Vea un ejemplo del correo electrónico e inscríbase a continuación.
Infórmese acerca del uso de datos en Mayo Clinic.
Suscríbase
Escrito por el personal de Mayo Clinic
"
Acné del bebé,
